image,class_id,class_name,confidence,cx_px,cy_px,w_mm,h_mm,short_mm,long_mm,angle_deg,box_index,size_label
5e63df8f-IMG_3345.JPEG,1,Porca,0.913307785987854,469.5096130371094,503.78076171875,18.81,9.99,9.99,18.81,1.56,3,
5fc3157f-IMG_3482.JPEG,1,Porca,0.9556419849395752,765.1478881835938,975.0319213867188,24.72,22.99,22.99,24.72,0.02,0,
5fc3157f-IMG_3482.JPEG,1,Porca,0.9125996828079224,873.8341674804688,524.9169921875,16.54,11.92,11.92,16.54,0.01,1,
5fc3157f-IMG_3482.JPEG,0,Parafuso,0.8762103319168091,849.8073120117188,643.2887573242188,45.09,17.74,17.74,45.09,0.14,2,ONLY
6a6e14da-IMG_3314.JPEG,1,Porca,0.9571473598480225,684.3932495117188,1312.0250244140625,18.41,19.56,18.41,19.56,0.01,0,
6a6e14da-IMG_3314.JPEG,1,Porca,0.9567770957946777,564.6611938476562,456.4058532714844,16.83,16.44,16.44,16.83,0.01,1,
6a6e14da-IMG_3314.JPEG,0,Parafuso,0.9414677023887634,376.20977783203125,962.9745483398438,19.48,39.91,19.48,39.91,0.41,2,SHORTEST
6a6e14da-IMG_3314.JPEG,0,Parafuso,0.9369175434112549,944.8349609375,739.136962890625,52.87,20.96,20.96,52.87,0.56,3,LONGEST
6ab6a189-IMG_3355.JPEG,1,Porca,0.955951452255249,589.8008422851562,964.0299072265625,24.15,22.89,22.89,24.15,0.0,0,
6ab6a189-IMG_3355.JPEG,1,Porca,0.9530500173568726,815.7091674804688,510.7455749511719,20.73,17.91,17.91,20.73,0.0,1,
6ab6a189-IMG_3355.JPEG,0,Parafuso,0.9351215362548828,443.4459533691406,677.6939697265625,21.66,45.02,21.66,45.02,1.09,2,SHORTEST
6ab6a189-IMG_3355.JPEG,0,Parafuso,0.9093108177185059,703.1743774414062,1641.384033203125,99.63,36.55,36.55,99.63,0.55,3,LONGEST
6bfa86c5-IMG_3213.JPEG,0,Parafuso,0.9433708190917969,820.9132080078125,1040.6361083984375,56.69,18.81,18.81,56.69,0.11,0,LONGEST
6bfa86c5-IMG_3213.JPEG,0,Parafuso,0.9281154274940491,774.77294921875,725.9674072265625,18.46,39.44,18.46,39.44,1.51,1,SHORTEST
