epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,173.274,0.58423,0.39541,1.19397,0.99911,0.98044,0.994,0.80247,0.82817,0.41395,1.42968,0.000536524,0.000536524,0.000536524
139,174.366,0.52375,0.37689,1.17929,0.99911,0.98044,0.994,0.80247,0.82817,0.41395,1.42968,0.000528272,0.000528272,0.000528272
140,175.703,0.60237,0.40279,1.25974,0.99842,0.98025,0.994,0.81329,0.79746,0.4055,1.4403,0.000520021,0.000520021,0.000520021
141,177.501,0.55188,0.3847,1.20847,0.99842,0.98025,0.994,0.81329,0.79746,0.4055,1.4403,0.000511769,0.000511769,0.000511769
142,178.834,0.56352,0.39192,1.27578,0.99968,0.98113,0.994,0.80358,0.79306,0.40999,1.43222,0.000503517,0.000503517,0.000503517
143,180.005,0.5403,0.38723,1.20502,0.99968,0.98113,0.994,0.80358,0.79306,0.40999,1.43222,0.000495266,0.000495266,0.000495266
144,181.413,0.59446,0.40767,1.25981,0.99966,0.98173,0.994,0.81546,0.8038,0.41081,1.42686,0.000487014,0.000487014,0.000487014
145,182.967,0.551,0.39517,1.16611,0.99966,0.98173,0.994,0.81546,0.8038,0.41081,1.42686,0.000478762,0.000478762,0.000478762
146,184.551,0.57348,0.41162,1.25829,0.99959,0.98214,0.994,0.81168,0.82271,0.40953,1.42031,0.000470511,0.000470511,0.000470511
147,185.695,0.53372,0.37243,1.18956,0.99959,0.98214,0.994,0.81168,0.82271,0.40953,1.42031,0.000462259,0.000462259,0.000462259
148,186.87,0.53153,0.37024,1.19288,0.9981,0.98032,0.994,0.806,0.82512,0.40444,1.42842,0.000454007,0.000454007,0.000454007
149,187.755,0.57693,0.39616,1.25862,0.9981,0.98032,0.994,0.806,0.82512,0.40444,1.42842,0.000445756,0.000445756,0.000445756
150,188.838,0.60815,0.42191,1.3418,0.99711,0.9776,0.99448,0.80147,0.82477,0.40395,1.44052,0.000437504,0.000437504,0.000437504
151,189.879,0.56705,0.39192,1.19726,0.99711,0.9776,0.99448,0.80147,0.82477,0.40395,1.44052,0.000429253,0.000429253,0.000429253
152,190.944,0.55472,0.38382,1.19753,0.99709,0.97413,0.99448,0.81082,0.80936,0.40524,1.45014,0.000421001,0.000421001,0.000421001
153,192.272,0.5605,0.40158,1.26276,0.99709,0.97413,0.99448,0.81082,0.80936,0.40524,1.45014,0.000412749,0.000412749,0.000412749
154,193.326,0.53432,0.37538,1.20108,0.99673,0.97279,0.99448,0.81543,0.80425,0.41041,1.44807,0.000404498,0.000404498,0.000404498
155,194.465,0.54897,0.39325,1.27795,0.99673,0.97279,0.99448,0.81543,0.80425,0.41041,1.44807,0.000396246,0.000396246,0.000396246
156,195.892,0.57636,0.3972,1.26903,0.9909,0.97984,0.99448,0.81535,0.8074,0.41079,1.43949,0.000387994,0.000387994,0.000387994
157,196.891,0.54884,0.39675,1.20208,0.9909,0.97984,0.99448,0.81535,0.8074,0.41079,1.43949,0.000379743,0.000379743,0.000379743
158,197.894,0.54848,0.38008,1.18723,0.99323,0.98033,0.99448,0.80797,0.82205,0.40848,1.43247,0.000371491,0.000371491,0.000371491
159,198.958,0.55201,0.38454,1.20956,0.99323,0.98033,0.99448,0.80797,0.82205,0.40848,1.43247,0.000363239,0.000363239,0.000363239
160,199.963,0.56519,0.39122,1.23411,0.99819,0.98904,0.995,0.81172,0.82446,0.40682,1.43546,0.000354988,0.000354988,0.000354988
161,201.012,0.56481,0.40775,1.21483,0.99819,0.98904,0.995,0.81172,0.82446,0.40682,1.43546,0.000346736,0.000346736,0.000346736
162,202.139,0.54043,0.38722,1.23449,0.99809,0.9883,0.995,0.8069,0.81914,0.39912,1.43554,0.000338484,0.000338484,0.000338484
163,203.223,0.58176,0.40405,1.19169,0.99809,0.9883,0.995,0.8069,0.81914,0.39912,1.43554,0.000330233,0.000330233,0.000330233
164,204.403,0.52429,0.36929,1.19799,0.99796,0.98786,0.995,0.80841,0.80582,0.3943,1.4388,0.000321981,0.000321981,0.000321981
165,205.583,0.5332,0.36819,1.18423,0.99796,0.98786,0.995,0.80841,0.80582,0.3943,1.4388,0.000313729,0.000313729,0.000313729
166,206.651,0.5199,0.36157,1.20976,0.99781,0.98827,0.995,0.80798,0.79405,0.38761,1.44068,0.000305478,0.000305478,0.000305478
167,207.689,0.54061,0.38829,1.27292,0.99781,0.98827,0.995,0.80798,0.79405,0.38761,1.44068,0.000297226,0.000297226,0.000297226
168,208.898,0.58177,0.39125,1.25081,0.99774,0.98943,0.995,0.81119,0.79117,0.38481,1.44023,0.000288974,0.000288974,0.000288974
169,210.32,0.52701,0.36731,1.21525,0.99774,0.98943,0.995,0.81119,0.79117,0.38481,1.44023,0.000280723,0.000280723,0.000280723
